Year,Country,Month,Tourist_Arrival,Date,Quarter,Season,Region
2018,Tanzania,1,18,2018-01-01,1,Maha Season,Africa
2018,Venezuela,1,12,2018-01-01,1,Maha Season,South America
2018,Syria,1,19,2018-01-01,1,Maha Season,Asia
2018,Ethiopia,1,18,2018-01-01,1,Maha Season,Africa
2018,Comoros,1,8,2018-01-01,1,Maha Season,Africa
2018,Mongolia,1,21,2018-01-01,1,Maha Season,Asia
2018,Albania,1,14,2018-01-01,1,Maha Season,Europe
2018,Fiji,1,19,2018-01-01,1,Maha Season,Oceania
2018,Laos,1,9,2018-01-01,1,Maha Season,Asia
2018,Ecuador,1,7,2018-01-01,1,Maha Season,South America
2018,Uganda,1,15,2018-01-01,1,Maha Season,Africa
2018,Costa Rica,1,9,2018-01-01,1,Maha Season,Central America
2018,Ghana,1,9,2018-01-01,1,Maha Season,Africa
2018,Liechtenstein,1,5,2018-01-01,1,Maha Season,Europe
2018,Uruguay,1,13,2018-01-01,1,Maha Season,South America
2018,Zambia,1,2,2018-01-01,1,Maha Season,Africa
2018,Trinidad and Tobago,1,5,2018-01-01,1,Maha Season,Caribbean
2018,Jamaica,1,9,2018-01-01,1,Maha Season,Caribbean
2018,Tajikistan,1,25,2018-01-01,1,Maha Season,Asia
2018,Libya,1,7,2018-01-01,1,Maha Season,Africa
2018,Madagascar,1,5,2018-01-01,1,Maha Season,Africa
2018,Somalia,1,9,2018-01-01,1,Maha Season,Africa
2018,Brunei,1,4,2018-01-01,1,Maha Season,Asia
2018,Papua New Guinea,1,5,2018-01-01,1,Maha Season,Oceania
2018,Bolivia,1,6,2018-01-01,1,Maha Season,South America
2018,Turkmenistan,1,15,2018-01-01,1,Maha Season,Asia
2018,Eritrea,1,8,2018-01-01,1,Maha Season,Africa
2018,Namibia,1,5,2018-01-01,1,Maha Season,Africa
2018,Monaco,1,5,2018-01-01,1,Maha Season,Europe
2018,Guatemala,1,9,2018-01-01,1,Maha Season,Central America
2018,Panama,1,5,2018-01-01,1,Maha Season,Central America
2018,Andorra,1,4,2018-01-01,1,Maha Season,Europe
2018,Cuba,1,3,2018-01-01,1,Maha Season,Caribbean
2018,Mozambique,1,2,2018-01-01,1,Maha Season,Africa
2018,Dominica,1,4,2018-01-01,1,Maha Season,Caribbean
2018,Honduras,1,9,2018-01-01,1,Maha Season,Central America
2018,Bahamas,1,1,2018-01-01,1,Maha Season,Caribbean
2018,Botswana,1,9,2018-01-01,1,Maha Season,Africa
2018,Timor-Leste,1,1,2018-01-01,1,Maha Season,Asia
2018,El Salvador,1,7,2018-01-01,1,Maha Season,Central America
2018,Saint Kitts and Nevis,1,6,2018-01-01,1,Maha Season,Caribbean
2018,Dominican Republic,1,4,2018-01-01,1,Maha Season,Caribbean
2018,Senegal,1,5,2018-01-01,1,Maha Season,Africa
2018,Malawi,1,5,2018-01-01,1,Maha Season,Africa
2018,Congo,1,1,2018-01-01,1,Maha Season,Africa
2018,Kosovo,1,0,2018-01-01,1,Maha Season,Europe
2018,Nicaragua,1,4,2018-01-01,1,Maha Season,Central America
2018,San Marino,1,1,2018-01-01,1,Maha Season,Europe
2018,Suriname,1,1,2018-01-01,1,Maha Season,South America
2018,Hong Kong,1,2,2018-01-01,1,Maha Season,Asia
2018,Cameroon,1,2,2018-01-01,1,Maha Season,Africa
2018,Guyana,1,0,2018-01-01,1,Maha Season,South America
2018,Paraguay,1,0,2018-01-01,1,Maha Season,South America
2018,Antigua and Barbuda,1,1,2018-01-01,1,Maha Season,Caribbean
2018,Ivory Coast,1,1,2018-01-01,1,Maha Season,Africa
2018,Burkina Faso,1,2,2018-01-01,1,Maha Season,Africa
2018,Sierra Leone,1,1,2018-01-01,1,Maha Season,Africa
2018,Barbados,1,4,2018-01-01,1,Maha Season,Caribbean
2018,BURUNDI ,1,1,2018-01-01,1,Maha Season,
2018,Rwanda,1,1,2018-01-01,1,Maha Season,Africa
2018,Mali,1,2,2018-01-01,1,Maha Season,Africa
2018,South Sudan,1,0,2018-01-01,1,Maha Season,Africa
2018,Vanuatu,1,0,2018-01-01,1,Maha Season,Oceania
2018,Belize,1,2,2018-01-01,1,Maha Season,Central America
2018,Eswatini,1,0,2018-01-01,1,Maha Season,Africa
2018,Grenada,1,1,2018-01-01,1,Maha Season,Caribbean
2018,SOLOMAN ISLANDS,1,1,2018-01-01,1,Maha Season,
2018,Liberia,1,0,2018-01-01,1,Maha Season,Africa
2018,Benin,1,1,2018-01-01,1,Maha Season,Africa
2018,GUINEA- BISSAU,1,1,2018-01-01,1,Maha Season,
2018,Haiti,1,1,2018-01-01,1,Maha Season,Caribbean
2018,Togo,1,3,2018-01-01,1,Maha Season,Africa
2018,Tonga,1,0,2018-01-01,1,Maha Season,Oceania
2018,Angola,1,0,2018-01-01,1,Maha Season,Africa
2018,Djibouti,1,1,2018-01-01,1,Maha Season,Africa
2018,Gambia,1,1,2018-01-01,1,Maha Season,Africa
2018,Congo,1,0,2018-01-01,1,Maha Season,Africa
2018,Lesotho,1,0,2018-01-01,1,Maha Season,Africa
2018,Saint Lucia,1,0,2018-01-01,1,Maha Season,Caribbean
2018,Tuvalu,1,0,2018-01-01,1,Maha Season,Oceania
2018,Cape Verde,1,1,2018-01-01,1,Maha Season,Africa
2018,Gabon,1,0,2018-01-01,1,Maha Season,Africa
2018,Niger,1,0,2018-01-01,1,Maha Season,Africa
2018,Palau,1,0,2018-01-01,1,Maha Season,Oceania
2018,Chad,1,0,2018-01-01,1,Maha Season,Africa
2018,Marshall Islands,1,0,2018-01-01,1,Maha Season,Oceania
2018,Samoa,1,0,2018-01-01,1,Maha Season,Oceania
2018,Kiribati,1,1,2018-01-01,1,Maha Season,Oceania
2018,Mauritania,1,1,2018-01-01,1,Maha Season,Africa
2018,Micronesia,1,0,2018-01-01,1,Maha Season,Oceania
2018,Saint Vincent and the Grenadines,1,0,2018-01-01,1,Maha Season,Caribbean
2018,North Korea,1,0,2018-01-01,1,Maha Season,Asia
2018,Central African Republic,1,0,2018-01-01,1,Maha Season,Africa
2018,Niger,1,0,2018-01-01,1,Maha Season,Africa
2018,Nauru,1,0,2018-01-01,1,Maha Season,Oceania
2018,Netherlands Antilles,1,0,2018-01-01,1,Maha Season,Caribbean
2018,São Tomé and Príncipe,1,0,2018-01-01,1,Maha Season,Africa
2018,Vatican City,1,0,2018-01-01,1,Maha Season,Europe
2018,India,2,32914,2018-02-01,1,Maha Season,Asia
2018,China,2,35929,2018-02-01,1,Maha Season,Asia
2018,United Kingdom,2,23817,2018-02-01,1,Maha Season,Europe
2018,Germany,2,17066,2018-02-01,1,Maha Season,Europe
2018,Australia,2,5693,2018-02-01,1,Maha Season,Oceania
2018,France,2,16871,2018-02-01,1,Maha Season,Europe
2018,Maldives,2,4726,2018-02-01,1,Maha Season,Asia
2018,United States,2,5984,2018-02-01,1,Maha Season,North America
2018,Russia,2,11043,2018-02-01,1,Maha Season,Europe
2018,Netherlands,2,4739,2018-02-01,1,Maha Season,Europe
2018,Canada,2,3999,2018-02-01,1,Maha Season,North America
2018,Japan,2,5263,2018-02-01,1,Maha Season,Asia
2018,Italy,2,4843,2018-02-01,1,Maha Season,Europe
2018,Ukraine,2,5138,2018-02-01,1,Maha Season,Europe
2018,Saudi Arabia,2,1065,2018-02-01,1,Maha Season,Asia
2018,Switzerland,2,3234,2018-02-01,1,Maha Season,Europe
2018,Spain,2,1680,2018-02-01,1,Maha Season,Europe
2018,Sweden,2,4533,2018-02-01,1,Maha Season,Europe
2018,Malaysia,2,1744,2018-02-01,1,Maha Season,Asia
2018,Poland,2,3195,2018-02-01,1,Maha Season,Europe
2018,Singapore,2,1469,2018-02-01,1,Maha Season,Asia
2018,Austria,2,3156,2018-02-01,1,Maha Season,Europe
2018,Philippines,2,1744,2018-02-01,1,Maha Season,Asia
2018,Denmark,2,3228,2018-02-01,1,Maha Season,Europe
2018,Pakistan,2,1734,2018-02-01,1,Maha Season,Asia
2018,Czechia,2,3082,2018-02-01,1,Maha Season,Europe
2018,Belgium,2,1449,2018-02-01,1,Maha Season,Europe
2018,Norway,2,1722,2018-02-01,1,Maha Season,Europe
2018,South Korea,2,1359,2018-02-01,1,Maha Season,Asia
2018,Israel,2,1253,2018-02-01,1,Maha Season,Asia
2018,New Zealand,2,655,2018-02-01,1,Maha Season,Oceania
2018,Ireland,2,839,2018-02-01,1,Maha Season,Europe
2018,Bangladesh,2,741,2018-02-01,1,Maha Season,Asia
2018,Thailand,2,566,2018-02-01,1,Maha Season,Asia
2018,Finland,2,1499,2018-02-01,1,Maha Season,Europe
2018,Taiwan,2,1152,2018-02-01,1,Maha Season,Asia
2018,Greece,2,573,2018-02-01,1,Maha Season,Europe
2018,South Africa,2,562,2018-02-01,1,Maha Season,Africa
2018,Oman,2,573,2018-02-01,1,Maha Season,Asia
2018,Portugal,2,581,2018-02-01,1,Maha Season,Europe
2018,Romania,2,943,2018-02-01,1,Maha Season,Europe
